Counter,Location,Experiment,Site,Block,PID,Paired_PID,Species,Treatment,Lat_Deg,Lon_Deg,Date_01,Days_01,Diam_mm_01,Height_cm_01,DBH_01,Canopy_length_cm_01,Canopy_width_cm_01,Ground_cover_percent_01,Notes_01,Dead_01,Use_growth_01,Date_02,Days_02,Diam_mm_02,Height_cm_02,DBH_02,Canopy_length_cm_02,Canopy_width_cm_02,Ground_cover_percent_02,Notes_02,Dead_02,Use_growth_02,Date_03,Days_03,Diam_mm_03,Height_cm_03,DBH_03,Canopy_length_cm_03,Canopy_width_cm_03,Ground_cover_percent_03,Notes_03,Dead_03,Use_growth_03,Date_03_5,Days_03_5,foliar_N_mg_g_03_5,foliar_C_mg_g_03_5,Date_04,Days_04,Diam_mm_04,Height_cm_04,DBH_04,Canopy_length_cm_04,Canopy_width_cm_04,Ground_cover_percent_04,Notes_04,Dead_04,Use_growth_04,foliar_N_mg_g_04,foliar_C_mg_g_04,foliar_15N_AP_04,foliar_d15N_04,foliar_d13C_04,disk_d15N_04,Date_05,Days_05,Diam_mm_05,Height_cm_05,DBH_05,Canopy_length_cm_05,Canopy_width_cm_05,Ground_cover_percent_05,Notes_05,Dead_05,Use_growth_05,Date_06,Days_06,Diam_mm_06,Height_cm_06,DBH_06,Canopy_length_cm_06,Canopy_width_cm_06,Ground_cover_percent_06,Notes_06,Dead_06,Use_growth_06,foliar_N_mg_g_06,foliar_C_mg_g_06,foliar_15N_AP_06,foliar_d15N_06,foliar_d13C_06,Aboveground_harvest_date_06,Harvest_notes_06,Main_stem_g_dry_06,Twigs_g_dry_06,Leaves_g_dry_06,Secondary_stems_g_dry_06,Fruit_g_dry_06,Dead_g_dry_06,Aboveground_mass_g_dry_06,Aboveground_mass_g_wet_06,Root_g_dry_06,Use_allometry_06,Allometry_use_notes_06,AGB_est_kg_01,AGB_est_kg_02,AGB_est_kg_03,AGB_est_kg_04,AGB_est_kg_05,AGB_est_kg_06
56,HI,FX,Waiakea,2,147,148,GLSE,MN,19.644323,-155.083672,6/24/16,0,6.2,28.575,NA,NA,NA,NA,,0,0,7/11/16,17,4.9,26.035,NA,NA,NA,NA,,0,0,6/25/17,366,11,29,NA,19,7,90,puny,0.5,0,1/1/18,NA,37.7,456.6,6/22/18,728,8,26,NA,23,18,NA,,0,0,29.84433966,460.2587016,1.823,4050.6,-30.27,NA,1/14/19,934,8,32,NA,21,20,NA,,0,0,7/16/19,1117,8.47,45,NA,29,23,NA,,0,0,23.2821836,439.4116817,1.08429,1981.58,-28.82,7/16/19,Average wet:dry ratio for GLSE used for twig dry weight,4,0.1,0.3,0,NA,NA,4.023420682,9.01,8.3,1,,0.000896491,0.000424985,0.002994951,0.004274688,0.004564166,0.006528416
57,HI,FX,Waiakea,3,159,160,GLSE,MN,19.644323,-155.083672,5/28/16,0,5.7,16.51,NA,NA,NA,NA,,0,1,7/11/16,44,6.3,21.59,NA,NA,NA,NA,,0,1,6/25/17,393,19.5,58,NA,81,50,70,apical meristem dead,0.5,1,1/1/18,NA,NA,NA,6/22/18,755,36,132,NA,198,94,NA,,0,1,35.35064112,458.6554178,0.72532,987.3,-28,NA,1/14/19,961,50,143,NA,207,224,NA,,0,1,7/16/19,1144,49.3,156,NA,250,138,NA,,0,0.5,34.32092202,460.5517653,0.51671,412.73,-27.35,7/16/19,Aboveground wet weight 2.0 kg,NA,NA,NA,NA,NA,NA,762.454534,2000,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.3756471*wet^1.00194; This came from regressing log(dry) on log(wet) from the GS trees where we had both; the R^2 was 0.9947, so not worrying about error propagation; did this because we only had wet mass",0.000464052,0.000758484,0.03660959,0.281579662,0.86932587,0.708988481
58,HI,FX,Waiakea,4,171,172,GLSE,MN,19.644323,-155.083672,1/17/16,0,5.2,17.5,NA,NA,NA,NA,,0,1,7/11/16,176,17.6,57.15,NA,NA,NA,NA,,0,1,6/25/17,525,44.5,150,NA,263,244,100,,0,1,1/1/18,NA,35.1,445.7,6/22/18,887,76,185,NA,427,511,NA,,0,1,32.59206316,458.5933766,0.50471,379.8,-28.73,NA,1/14/19,1093,98.43779762,260,NA,615,655,NA,,0,1,7/16/19,1276,112.45,240,NA,645,730,NA,,0,1,27.03590711,445.4010815,0.43149,178.73,-28.95,7/16/19,,20505,1410.3,4427.6,0,NA,NA,26342.88362,64230,NA,1,,0.000372659,0.030371078,1.00720202,6.468892407,20.81290768,27.66080859
59,HI,FX,Waiakea,5,183,184,GLSE,MN,19.644323,-155.083672,1/17/16,0,4.9,19,NA,NA,NA,NA,,0,1,7/11/16,176,7.8,25.4,NA,NA,NA,NA,,0,1,6/25/17,525,14,28,NA,31,21,95,,0,1,1/1/18,NA,46.4,488,6/22/18,887,14,33,NA,13,8,NA,Diameter plateaus,0,0,NA,NA,NA,NA,NA,NA,1/14/19,1093,12,41,NA,14,11,NA,Diameter drops,0,0,7/16/19,1276,11.7,28,NA,12,17,NA,Diameter drops,0,0,29.27636249,458.3922377,1.32055,2639.93,-29.64,7/16/19,Aboveground wet weight 0.017 kg,NA,NA,NA,NA,NA,NA,6.421197,17,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.3756471*wet^1.00194; This came from regressing log(dry) on log(wet) from the GS trees where we had both; the R^2 was 0.9947, so not worrying about error propagation; did this because we only had wet mass",0.000334476,0.001584648,0.007616768,0.002979541,0.003610161,0.003786822
60,HI,FX,Waiakea,6,195,196,GLSE,MN,19.644323,-155.083672,5/28/16,0,6.5,19.05,NA,NA,NA,NA,,0,1,7/11/16,44,6.5,23.495,NA,NA,NA,NA,,0,1,6/25/17,393,23.5,54,NA,119,95,85,,0,1,1/1/18,NA,35.9,465.2,6/22/18,755,25,83,NA,142,147,NA,,0,1,41.30739742,464.1622873,0.64195,757.4,-27.15,NA,1/14/19,961,38.88444419,104,NA,209,206,NA,,0,1,7/16/19,1144,46.6,104,NA,229,235,NA,,0,1,33.47284677,462.0485314,0.50483,380.09,-28.33,7/16/19,Aboveground wet weight 2.58 kg,NA,NA,NA,NA,NA,NA,984.052354,2580,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.3756471*wet^1.00194; This came from regressing log(dry) on log(wet) from the GS trees where we had both; the R^2 was 0.9947, so not worrying about error propagation; did this because we only had wet mass",0.000754382,0.000884785,0.080518611,0.160929545,0.504853364,0.742580359
61,HI,FX,Waiakea,7,207,208,GLSE,MN,19.644323,-155.083672,1/17/16,0,9.7,28,NA,NA,NA,NA,No growth to the next time step,0,0,7/11/16,176,9.8,26.67,NA,NA,NA,NA,,0,1,6/25/17,525,20,48,NA,123,87,75,,0,1,1/1/18,NA,31.9,411.9,6/22/18,887,36,50,NA,201,165,NA,,0,1,36.40151318,465.1917195,0.74708,1047.3,-27.86,NA,1/14/19,1093,40,98,NA,215,205,NA,,0,1,7/16/19,1276,50.6,114,NA,245,260,NA,,0,1,35.5013658,454.7140439,0.55008,504.48,-28.81,7/16/19,,893.4,77.7,407.8,0,NA,NA,1378.968505,4032,NA,1,,0.003191229,0.003167227,0.062444515,0.250026957,0.512939008,0.990608031
62,HI,FX,Waiakea,8,219,220,GLSE,MN,19.644323,-155.083672,5/28/16,0,11.7,15.875,NA,NA,NA,NA,,0,1,7/11/16,44,7.7,26.67,NA,NA,NA,NA,,0,1,6/25/17,393,32,95,NA,106,72,95,dead apical meristem,0.5,1,1/1/18,NA,38.9,455.9,6/22/18,755,55,90,NA,183,170,NA,,0,1,38.29513204,452.0329543,0.49843,362.5,-28.05,NA,1/14/19,961,56.1248608,142,NA,294,225,NA,,0,1,7/16/19,1144,57.45,131,NA,310,282,NA,,0,1,32.73087469,454.1159003,0.44907,226.98,-28.87,7/16/19,Aboveground wet weight 5.34 kg,NA,NA,NA,NA,NA,NA,2039.635867,5340,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.3756471*wet^1.00194; This came from regressing log(dry) on log(wet) from the GS trees where we had both; the R^2 was 0.9947, so not worrying about error propagation; did this because we only had wet mass",0.003551046,0.001584719,0.109812395,0.540367231,1.328359822,1.633282979
63,HI,FX,Waiakea,9,231,232,GLSE,MN,19.644323,-155.083672,5/28/16,0,10.1,15.875,NA,NA,NA,NA,,0,1,7/11/16,44,5.9,21.59,NA,NA,NA,NA,,0,1,6/25/17,393,22,50,NA,70,55,75,dead apical meristem,0.5,1,1/1/18,NA,26.4,433.8,6/22/18,755,36.74234614,98,NA,91,104,NA,,0,1,30.52428303,459.9036888,0.36764,3.7,-27.43,NA,1/14/19,961,40.98780306,105,NA,160,202,NA,,0,1,7/16/19,1144,59.8,120,NA,205,230,NA,,0,1,24.76388064,441.2234602,0.36741,3.02,-29.02,7/16/19,Not harvested; No 15N,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,0.002327994,0.000628271,0.036922497,0.148973807,0.434752983,0.982237159
64,HI,FX,Waiakea,1,141,142,GLSE,PHN,19.644323,-155.083672,6/16/16,0,5.1,23.495,NA,NA,NA,NA,,0,1,7/11/16,25,5.4,25.4,NA,NA,NA,NA,,0,1,6/25/17,374,21,50,NA,86,43,95,main apical meristem dead,0.5,1,1/1/18,NA,44.8,459.5,6/22/18,736,29,68,NA,80,45,NA,,0,1,39.2457819,450.2275136,1.23743,2408,-28.91,NA,1/14/19,942,32,86,NA,135,85,NA,,0,1,7/16/19,1125,29.05,84,NA,92,148,NA,Diameter and height decrease,0,0.5,29.85838797,449.0396687,1.05902,1911.33,-28.86,7/16/19,,114.3,4.8,25.8,0,NA,NA,144.8506793,398,NA,1,,0.000440926,0.000551294,0.034598187,0.051055113,0.140008866,0.141468713
65,HI,FX,Waiakea,2,153,154,GLSE,PHN,19.644323,-155.083672,1/17/16,0,5.8,17,NA,NA,NA,NA,,0,1,7/11/16,176,14.3,36.83,NA,NA,NA,NA,,0,1,6/25/17,525,29.5,99,NA,140,119,100,,0,1,1/1/18,NA,43.8,472.1,6/22/18,887,30,104,NA,272,201,NA,,0,1,42.77374734,436.9078304,0.78542,1153.2,-30.28,NA,1/14/19,1093,32,105,NA,210,205,NA,,0,0,7/16/19,1276,35.4,108,NA,240,164,NA,,0,0,35.14659843,452.0724024,0.7018,922.36,-31.35,7/16/19,Average wet:dry ratio for GLSE used for main stem dry weight; also adding in leaf subsample from July 2019 Harvest datasheet,494.5,13.6,80.4,0,NA,NA,588.447549,1471,NA,1,,0.000498782,0.011980186,0.180458339,0.441252324,0.403531295,0.432468949
66,HI,FX,Waiakea,3,165,166,GLSE,PHN,19.644323,-155.083672,5/28/16,0,7.9,17.78,NA,NA,NA,NA,,0,1,7/11/16,44,8.4,23.114,NA,NA,NA,NA,,0,1,6/25/17,393,38.5,170,NA,188,161,90,,0,1,1/1/18,NA,49.1,459.1,6/22/18,755,57,230,NA,203,269,NA,,0,1,45.25364658,452.7654757,0.71527,959.5,-29.06,NA,1/14/19,961,55,238,NA,308,267,NA,Diameter decreases,0,1,7/16/19,1144,61.95,240,NA,255,277,NA,,0,1,39.25879607,462.7799125,0.60354,651.6,-29.88,7/16/19,Aboveground wet weight 5.1 kg,NA,NA,NA,NA,NA,NA,1947.793067,5100,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.3756471*wet^1.00194; This came from regressing log(dry) on log(wet) from the GS trees where we had both; the R^2 was 0.9947, so not worrying about error propagation; did this because we only had wet mass",0.001253285,0.001824756,0.506185995,1.548548026,2.144260937,2.196140214
67,HI,FX,Waiakea,4,177,178,GLSE,PHN,19.644323,-155.083672,5/28/16,0,7,12.7,NA,NA,NA,NA,,0,1,7/11/16,44,8.4,20.32,NA,NA,NA,NA,,0,1,6/25/17,393,26.5,69,NA,69,63,100,,0,1,1/1/18,NA,NA,NA,6/22/18,755,37,112,NA,229,168,NA,,0,1,40.39998933,465.8891343,0.58726,606.8,-27.86,NA,1/14/19,961,33,101,NA,295,220,NA,Diameter and height decrease,0,1,7/16/19,1144,41.2,138,NA,228,206,NA,,0,1,33.61294127,452.8441519,0.60746,662.37,-27.9,7/16/19,Aboveground wet weight 1.52 kg,NA,NA,NA,NA,NA,NA,579.157018,1520,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.3756471*wet^1.00194; This came from regressing log(dry) on log(wet) from the GS trees where we had both; the R^2 was 0.9947, so not worrying about error propagation; did this because we only had wet mass",0.000685685,0.001654498,0.054007656,0.457240524,0.551015606,0.683059573
68,HI,FX,Waiakea,5,189,190,GLSE,PHN,19.644323,-155.083672,5/28/16,0,5.7,17.78,NA,NA,NA,NA,,0,1,7/11/16,44,8.3,29.845,NA,NA,NA,NA,,0,1,6/25/17,393,25,75,NA,82,58,90,dead ht 81 dead apical meristem,0.5,1,1/1/18,NA,53.1,469.7,6/22/18,755,24,82,NA,71,84,NA,Diameter decreases and height plateaus,0,0,45.63313023,473.3877817,1.01433,1787.2,-29.38,NA,1/14/19,961,23,78,NA,28,63,NA,Diameter decreases and height plateaus,0,0,7/16/19,1144,22.2,62,NA,108,72,NA,Diameter decreases and height plateaus,0,0,36.15641208,466.8963568,0.76491,1096.57,-29.34,7/16/19,Aboveground wet weight 0.132 kg,NA,NA,NA,NA,NA,NA,50.057345,132,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.3756471*wet^1.00194; This came from regressing log(dry) on log(wet) from the GS trees where we had both; the R^2 was 0.9947, so not worrying about error propagation; did this because we only had wet mass",0.000490949,0.002141208,0.056534939,0.066024198,0.027711983,0.064100124
69,HI,FX,Waiakea,6,201,202,GLSE,PHN,19.644323,-155.083672,1/17/16,0,7.1,21,NA,NA,NA,NA,,0,1,7/11/16,176,19.3,69.215,NA,NA,NA,NA,,0,1,6/25/17,525,53,145,NA,309,345,100,,0,1,1/1/18,NA,40.1,450,6/22/18,887,71,150,NA,478,419,NA,,0,1,38.97024229,463.8220521,0.5292,447.1,-29.37,NA,1/14/19,1093,90,205,NA,555,557,NA,,0,1,7/16/19,1276,104.1,220,NA,575,585,NA,,0,1,37.8448194,453.7489889,0.52857,445.35,-26.99,7/16/19,,17210.9,1492.7,2995,0,NA,NA,21698.71903,53118,NA,1,,0.001046814,0.045780816,1.847497875,4.726755272,12.04979818,16.90306307
70,HI,FX,Waiakea,7,213,214,GLSE,PHN,19.644323,-155.083672,1/17/16,0,9.2,23,NA,NA,NA,NA,,0,0,7/11/16,176,12,33.02,NA,NA,NA,NA,,0,0,6/25/17,525,36,103,NA,74,71,90,wilty weird different looking. Probably not GS,1,0,1/1/18,NA,NA,NA,6/22/18,887,NA,NA,NA,NA,NA,NA,dead,1,0,NA,NA,NA,NA,NA,NA,1/14/19,1093,NA,NA,NA,NA,NA,NA,,1,0,7/16/19,1276,NA,NA,NA,NA,NA,NA,dead,1,0,NA,NA,NA,NA,NA,7/16/19,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,0.002360551,0.00666414,0.096854986,NA,NA,NA
71,HI,FX,Waiakea,8,225,226,GLSE,PHN,19.644323,-155.083672,1/17/16,0,6.6,24,NA,NA,NA,NA,,0,1,7/11/16,176,8.2,29.21,NA,NA,NA,NA,,0,1,6/25/17,525,25,84,NA,142,113,90,,0,1,1/1/18,NA,46.1,475.2,6/22/18,887,34,97,NA,145,89,NA,,0,0,36.45138653,460.5736569,0.89321,1451.4,-31.23,NA,1/14/19,1093,33,91,NA,160,115,NA,Diameter and height decrease,0,0,7/16/19,1276,31.1,82,NA,92,145,NA,Diameter and height decrease,0,0,45.98255499,455.9155966,0.70228,923.7,-32.2,7/16/19,Aboveground wet weight 0.3 kg,NA,NA,NA,NA,NA,NA,113.948034,300,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.3756471*wet^1.00194; This came from regressing log(dry) on log(wet) from the GS trees where we had both; the R^2 was 0.9947, so not worrying about error propagation; did this because we only had wet mass",0.000939503,0.00203443,0.135531933,0.17216632,0.208654682,0.147714775
72,HI,FX,Waiakea,9,237,238,GLSE,PHN,19.644323,-155.083672,6/16/16,0,8.4,19.05,NA,NA,NA,NA,No growth to the next time step,0,0,7/11/16,25,5.8,16.51,NA,NA,NA,NA,,0,1,6/25/17,374,20,85,NA,139,82,82.5,,0,1,1/1/18,NA,33.5,473.15,6/22/18,736,41,119,NA,363,269,NA,,0,1,37.63825917,468.351606,0.59056,615.8,-29.37,NA,1/14/19,942,53.91660227,170,NA,520,395,NA,,0,1,7/16/19,1125,62.7,170,NA,572,488,NA,,0,1,34.36769571,449.301898,0.53435,461.24,-30.35,7/16/19,,2442.3,220.9,591.7,0,NA,NA,3254.816109,8685,NA,1,,0.001575276,0.000487814,0.086445469,1.089055832,3.598320393,5.746233689
73,HI,FX,Waiakea,1,139,NA,PSCA,HN,19.644323,-155.083672,1/17/16,0,2,16,NA,NA,NA,NA,,0,1,7/11/16,176,9.3,52.07,NA,NA,NA,NA,,0,1,6/25/17,525,31.5,83,NA,109,101,95,,0,1,1/1/18,NA,14.1,490.5,6/22/18,887,49,161,NA,175,147,NA,"Height decreases but diameter ok. From plotting the diameter, height, and canopy dimension trajectories, it seems most likely that the originally entered height here (61 cm) was mis-transcribed in the original datasheet from 161 cm, so I have changed it to 161 here",0,1,17.33392675,485.0793799,2.01647,4597.6,-30.32,1726.94,1/14/19,1093,52.41183073,173,NA,188,135,NA,,0,1,7/16/19,1276,53.4,189,NA,200,156,NA,,0,1,12.51914326,486.7954418,1.17719,2240.08,-29.83,7/16/19,,831.7,495.3,476.6,0,535.1,NA,2338.669297,5347,NA,1,,0.011670542,0.245418924,0.511320694,1.64577883,1.765121765,2.178217958
74,HI,FX,Waiakea,2,151,NA,PSCA,HN,19.644323,-155.083672,1/17/16,0,2.2,22,NA,NA,NA,NA,,0,1,7/11/16,176,4.2,32.385,NA,NA,NA,NA,,0,1,6/25/17,525,12.5,43,NA,52,46,75,,0,1,1/1/18,NA,10.8,496.5,6/22/18,887,32.49615362,64,NA,79,71,NA,,0,1,13.6585309,493.5184084,3.34112,8401.9,-29.13,3156.93,1/14/19,1093,36.98648402,74,NA,98,104,NA,stem diameter not useful for guava (geometric mean of 18 and 76),0,1,7/16/19,1276,31.45,71,NA,127,116,NA,Second stem 24.6 mm; diameter and height decrease,0,1,12.04754697,489.0931385,2.02917,4633.61,-29.56,7/16/19,Fruit wet weight may have been 715 g or 715g+63g; using 715g for wet:dry conversion,113.2,159.8,252.1,0,210,NA,735.0161848,1887,NA,1,,0.026632891,0.078022118,0.123514435,0.262336076,0.414897817,0.488782248
75,HI,FX,Waiakea,3,163,NA,PSCA,HN,19.644323,-155.083672,5/28/16,0,3.9,24.13,NA,NA,NA,NA,,0,1,7/11/16,44,4.2,27.305,NA,NA,NA,NA,,0,1,6/25/17,393,14,51,NA,45,28,95,,0,1,1/1/18,NA,NA,NA,6/22/18,755,31,62,NA,97,69,NA,,0,1,14.44098802,507.5760808,1.8921,4245.7,-31.97,1231.62,1/14/19,961,31,60,NA,113,87,NA,"diameter plateaus, height decreases",0,0,7/16/19,1144,34.65,59,NA,114,71,NA,,0,0,12.49201712,494.7201403,2.42419,5757.55,-29.88,7/16/19,Aboveground wet weight 0.551 kg,NA,NA,NA,NA,NA,NA,238.74538,551,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4748038*wet^0.98551; This came from regressing log(dry) on log(wet) from the PC trees where we had both; the R^2 was 0.9878, so not worrying about error propagation; did this because we only had wet mass",0.038699081,0.052520583,0.108060368,0.278142571,0.324453301,0.282428837
76,HI,FX,Waiakea,4,175,NA,PSCA,HN,19.644323,-155.083672,1/17/16,0,2.5,23,NA,NA,NA,NA,,0,1,7/11/16,176,4.5,35.56,NA,NA,NA,NA,,0,1,6/25/17,525,16.5,42,NA,55,46,80,,0,1,1/1/18,NA,NA,NA,6/22/18,887,29.39387691,60,NA,74,79,NA,,0,1,15.83416026,496.9813876,2.5025,5981.4,-29.79,2102.48,1/14/19,1093,38.10511777,81,NA,130,115,NA,,0,1,7/16/19,1276,33.05,86,NA,97,109,NA,Diameter and canopy area decrease,0,0.5,13.75691138,480.877996,1.7298,3787.85,-30.34,7/16/19,Aboveground wet weight 1.2 kg,NA,NA,NA,NA,NA,NA,514.12077,1200,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4748038*wet^0.98551; This came from regressing log(dry) on log(wet) from the PC trees where we had both; the R^2 was 0.9878, so not worrying about error propagation; did this because we only had wet mass",0.03076293,0.09795324,0.117532134,0.251795793,0.560085553,0.518997737
77,HI,FX,Waiakea,5,187,NA,PSCA,HN,19.644323,-155.083672,5/28/16,0,4.9,26.67,NA,NA,NA,NA,,0,1,7/11/16,44,5,31.75,NA,NA,NA,NA,,0,1,6/25/17,393,13.5,43,NA,35,29,95,,0,1,1/1/18,NA,13.6,506.7,6/22/18,755,24,75,NA,104,69,NA,,0,1,13.76077129,507.1857448,2.70563,6563.9,-30.53,2563.11,1/14/19,961,30,90,NA,118,110,NA,,0,1,7/16/19,1144,34.5,89,NA,111,103,NA,,0,0.5,13.23047946,498.1560673,1.28188,2531.98,-31.9,7/16/19,"Stem dry mass not from harvest spreadsheet, and stem wet mass isn't there either; must have been from average leaf and twig ratios; don't use for allometry",137.6,117.5,56.4,0,5.6,NA,317.1,NA,NA,0,,0.051495346,0.076919231,0.078979141,0.381240431,0.61944651,0.559023799
78,HI,FX,Waiakea,6,199,NA,PSCA,HN,19.644323,-155.083672,1/17/16,0,1.8,23,NA,NA,NA,NA,,0,1,7/11/16,176,7,38.1,NA,NA,NA,NA,,0,1,6/25/17,525,23.5,64,NA,68,63,95,,0,1,1/1/18,NA,13,486.1,6/22/18,887,35,88,NA,91,112,NA,,0,1,12.88989799,497.1114199,2.02981,4635.4,-29.76,3878.93,1/14/19,1093,35,109,NA,130,118,NA,,0,1,7/16/19,1276,41,107,NA,149,117,NA,,0,1,12.39562332,497.0461346,1.47978,3085.44,-30.04,7/16/19,Aboveground wet weight 2.1 kg,NA,NA,NA,NA,NA,NA,892.44312,2100,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4748038*wet^0.98551; This came from regressing log(dry) on log(wet) from the PC trees where we had both; the R^2 was 0.9878, so not worrying about error propagation; did this because we only had wet mass",0.028208461,0.121891747,0.242378487,0.51883832,0.830884034,0.84253626
79,HI,FX,Waiakea,7,211,NA,PSCA,HN,19.644323,-155.083672,5/28/16,0,3.4,20.955,NA,NA,NA,NA,,0,1,7/11/16,44,3.3,24.13,NA,NA,NA,NA,,0,1,6/25/17,393,14.5,48,NA,61,46,72.5,,0,1,1/1/18,NA,14.1,497.1,6/22/18,755,22,58,NA,109,89,NA,,0,1,16.83878046,495.7157196,2.93878,7235.4,-29.55,2986.53,1/14/19,961,28,73,NA,138,110,NA,,0,1,7/16/19,1144,30,74,NA,133,142,NA,,0,1,12.49854637,482.9856878,2.12688,4910.78,-30.41,7/16/19,Aboveground wet weight 1.16 kg,NA,NA,NA,NA,NA,NA,497.22767,1160,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4748038*wet^0.98551; This came from regressing log(dry) on log(wet) from the PC trees where we had both; the R^2 was 0.9878, so not worrying about error propagation; did this because we only had wet mass",0.026747633,0.037105758,0.149404753,0.328348377,0.524187177,0.58813468
80,HI,FX,Waiakea,8,223,NA,PSCA,HN,19.644323,-155.083672,1/17/16,0,1.6,16,NA,NA,NA,NA,,0,1,7/11/16,176,3.9,39.37,NA,NA,NA,NA,diam taken above shoot split,0,1,6/25/17,525,35,37,NA,108,77,50,stem measurement down under ground a few cm,0,1,1/1/18,NA,12.6,498,6/22/18,887,44.49719092,50,NA,191,150,NA,,0,1,15.63305038,501.6075226,2.60295,6269.2,-28.45,11226.5,1/14/19,1093,43.95452195,70,NA,215,175,NA,,0,1,7/16/19,1276,47.85,72,NA,176,161,NA,,0,0.5,NA,NA,NA,NA,NA,7/16/19,Aboveground wet weight 1.24 kg,NA,NA,NA,NA,NA,NA,531.0057,1240,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4748038*wet^0.98551; This came from regressing log(dry) on log(wet) from the PC trees where we had both; the R^2 was 0.9878, so not worrying about error propagation; did this because we only had wet mass",0.010778626,0.121585895,0.160697143,0.417549814,0.727505815,0.64290116
81,HI,FX,Waiakea,9,235,NA,PSCA,HN,19.644323,-155.083672,5/28/16,0,2.7,15.875,NA,NA,NA,NA,,0,1,7/11/16,44,2.3,17.78,NA,NA,NA,NA,,0,1,6/25/17,393,10,31,NA,47,36,90,,0,1,1/1/18,NA,18.4,486.5,6/22/18,755,21,55,NA,86,66,NA,,0,1,15.20190364,477.6158565,0.37191,15.4,-29.49,NA,1/14/19,961,23.47338919,76,NA,69,90,NA,,0,1,7/16/19,1144,24.5,75,NA,103,68,NA,,0,1,15.3007516,481.0683276,0.36922,8,-30.59,7/16/19,Not harvested; No 15N,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,0.012742149,0.01592233,0.072010941,0.236427372,0.36160748,0.375223336
82,HI,FX,Waiakea,1,133,NA,PSCA,LN,19.644323,-155.083672,1/17/16,0,2.2,22,NA,NA,NA,NA,,0,1,7/11/16,176,10.8,46.99,NA,NA,NA,NA,,0,1,6/25/17,525,32,87,NA,89,72,95,,0,1,1/1/18,NA,13,477.7,6/22/18,887,60,145,NA,135,119,NA,,0,1,12.27251176,462.6396756,0.75793,1077.3,-30.42,935.1,1/14/19,1093,54.55272679,149,NA,155,120,NA,Diameter decreases and height plateaus,0,1,7/16/19,1276,62.2,152,NA,133,165,NA,Second stem 23.4 mm,0,1,12.24758263,483.8386787,0.67152,838.85,-29.63,7/16/19,Aboveground wet weight 4.68 kg,NA,NA,NA,NA,NA,NA,1965.90594,4680,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4748038*wet^0.98551; This came from regressing log(dry) on log(wet) from the PC trees where we had both; the R^2 was 0.9878, so not worrying about error propagation; did this because we only had wet mass",0.000228807,0.018235619,0.219576165,1.186941046,1.503722262,1.858104459
83,HI,FX,Waiakea,2,145,NA,PSCA,LN,19.644323,-155.083672,1/17/16,0,1.95,23,NA,NA,NA,NA,,0,1,7/11/16,176,6.4,44.45,NA,NA,NA,NA,,0,1,6/25/17,525,21,63,NA,87,65,90,,0,1,1/1/18,NA,15.6,501.4,6/22/18,887,35.70714214,80,NA,84,109,NA,"where stems were long and skinny, we took measurements at minimum and max diameter.  Most were PC",0,1,13.24489623,506.5991811,0.63937,750.3,-30.86,449.07,1/14/19,1093,42.03569911,74,NA,102,100,NA,Height decreases,0,1,7/16/19,1276,29.8,82,NA,98,102,NA,Diameter decreases,0,1,12.88437257,476.144545,0.8469,1323.22,-29.55,7/16/19,Aboveground wet weight 0.84 kg,NA,NA,NA,NA,NA,NA,361.74986,840,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4748038*wet^0.98551; This came from regressing log(dry) on log(wet) from the PC trees where we had both; the R^2 was 0.9878, so not worrying about error propagation; did this because we only had wet mass",0.000177302,0.005177934,0.135482711,0.305619625,0.309378457,0.363674617
